CITY,NAME,State
Addison,"Dallas-Fort Worth-Arlington, TX",TX
Aguila,"Phoenix-Mesa-Chandler, AZ",AZ
Alafaya,"Orlando-Kissimmee-Sanford, FL",FL
Alamo Heights,"San Antonio-New Braunfels, TX",TX
Aledo,"Dallas-Fort Worth-Arlington, TX",TX
Allen,"Dallas-Fort Worth-Arlington, TX",TX
Alma,"Dallas-Fort Worth-Arlington, TX",TX
Altamonte Springs,"Orlando-Kissimmee-Sanford, FL",FL
Altoona,"Orlando-Kissimmee-Sanford, FL",FL
Alvarado,"Dallas-Fort Worth-Arlington, TX",TX
Alvin,"Houston-The Woodlands-Sugar Land, TX",TX
Alvord,"Dallas-Fort Worth-Arlington, TX",TX
Ames,"Houston-The Woodlands-Sugar Land, TX",TX
Anahuac,"Houston-The Woodlands-Sugar Land, TX",TX
Angleton,"Houston-The Woodlands-Sugar Land, TX",TX
Anna,"Dallas-Fort Worth-Arlington, TX",TX
Anthem,"Phoenix-Mesa-Chandler, AZ",AZ
Apache Junction,"Phoenix-Mesa-Chandler, AZ",AZ
Apollo Beach,"Tampa-St. Petersburg-Clearwater, FL",FL
Apopka,"Orlando-Kissimmee-Sanford, FL",FL
Arcadia,"Houston-The Woodlands-Sugar Land, TX",FL
Arcola,"Houston-The Woodlands-Sugar Land, TX",TX
Argyle,"Dallas-Fort Worth-Arlington, TX",TX
Arizona City,"Phoenix-Mesa-Chandler, AZ",AZ
Arlington,"Dallas-Fort Worth-Arlington, TX",AZ
Arlington,"Dallas-Fort Worth-Arlington, TX",TX
Astatula,"Orlando-Kissimmee-Sanford, FL",FL
Astor,"Orlando-Kissimmee-Sanford, FL",FL
Atascocita,"Houston-The Woodlands-Sugar Land, TX",TX
Atlantis,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Aubrey,"Dallas-Fort Worth-Arlington, TX",TX
Aurora,"Dallas-Fort Worth-Arlington, TX",TX
Austin,"Austin-Round Rock-Georgetown, TX",NV
Austin,"Austin-Round Rock-Georgetown, TX",TX
Aventura,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Avondale,"Phoenix-Mesa-Chandler, AZ",AZ
Azalea Park,"Orlando-Kissimmee-Sanford, FL",FL
Azle,"Dallas-Fort Worth-Arlington, TX",TX
Bacliff,"Houston-The Woodlands-Sugar Land, TX",TX
Bal Harbour,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Balch Springs,"Dallas-Fort Worth-Arlington, TX",TX
Balcones Heights,"San Antonio-New Braunfels, TX",TX
Bandera,"San Antonio-New Braunfels, TX",TX
Bartlett,"Austin-Round Rock-Georgetown, TX",TX
Bartonville,"Dallas-Fort Worth-Arlington, TX",TX
Bastrop,"Austin-Round Rock-Georgetown, TX",TX
Bay City,"Houston-The Woodlands-Sugar Land, TX",TX
Bay Harbor Islands,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Bay Lake,"Orlando-Kissimmee-Sanford, FL",FL
Bayonet Point,"Tampa-St. Petersburg-Clearwater, FL",FL
Bayou Vista,"Houston-The Woodlands-Sugar Land, TX",TX
Baytown,"Houston-The Woodlands-Sugar Land, TX",TX
Beach City,"Houston-The Woodlands-Sugar Land, TX",TX
Beasley,"Houston-The Woodlands-Sugar Land, TX",TX
Bedford,"Dallas-Fort Worth-Arlington, TX",TX
Bee Cave,"Austin-Round Rock-Georgetown, TX",TX
Bellaire,"Houston-The Woodlands-Sugar Land, TX",TX
Belle Glade,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Belle Isle,"Orlando-Kissimmee-Sanford, FL",FL
Belleair,"Tampa-St. Petersburg-Clearwater, FL",FL
Belleair Bluffs,"Tampa-St. Petersburg-Clearwater, FL",FL
Belleair Shore,"Tampa-St. Petersburg-Clearwater, FL",FL
Bellville,"Houston-The Woodlands-Sugar Land, TX",TX
Benbrook,"Dallas-Fort Worth-Arlington, TX",TX
Biscayne Park,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Bithlo,"Orlando-Kissimmee-Sanford, FL",FL
Blue Diamond,"Las Vegas-Henderson-Paradise, NV",NV
Blue Mound,"Dallas-Fort Worth-Arlington, TX",TX
Blue Ridge,"Dallas-Fort Worth-Arlington, TX",TX
Blue Ridge,"Dallas-Fort Worth-Arlington, TX",AZ
Boca Raton,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Boerne,"San Antonio-New Braunfels, TX",TX
Bolivar Peninsula,"Houston-The Woodlands-Sugar Land, TX",TX
Boulder City,"Las Vegas-Henderson-Paradise, NV",NV
Boyd,"Dallas-Fort Worth-Arlington, TX",TX
Boynton Beach,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Brandon,"Tampa-St. Petersburg-Clearwater, FL",FL
Brazoria,"Houston-The Woodlands-Sugar Land, TX",TX
Briarcliff,"Austin-Round Rock-Georgetown, TX",TX
Bridgeport,"Dallas-Fort Worth-Arlington, TX",TX
Brookshire,"Houston-The Woodlands-Sugar Land, TX",TX
Brooksville,"Tampa-St. Petersburg-Clearwater, FL",FL
Buckeye,"Phoenix-Mesa-Chandler, AZ",AZ
Buda,"Austin-Round Rock-Georgetown, TX",TX
Bulverde,"San Antonio-New Braunfels, TX",TX
Burleson,"Dallas-Fort Worth-Arlington, TX",TX
Burnet,"Austin-Round Rock-Georgetown, TX",TX
Caddo Mills,"Dallas-Fort Worth-Arlington, TX",TX
Cal-Nev-Ari,"Las Vegas-Henderson-Paradise, NV",NV
Campbell,"Dallas-Fort Worth-Arlington, TX",TX
Campbell,"Dallas-Fort Worth-Arlington, TX",FL
Canal Point,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Canton,"Houston-The Woodlands-Sugar Land, TX",TX
Canyon Lake,"San Antonio-New Braunfels, TX",TX
Carefree,"Phoenix-Mesa-Chandler, AZ",AZ
Carrollton,"Dallas-Fort Worth-Arlington, TX",TX
Carrollwood,"Tampa-St. Petersburg-Clearwater, FL",FL
Casa Grande,"Phoenix-Mesa-Chandler, AZ",AZ
Casselberry,"Orlando-Kissimmee-Sanford, FL",FL
Castle Hills,"San Antonio-New Braunfels, TX",TX
Castroville,"San Antonio-New Braunfels, TX",TX
Cave Creek,"Phoenix-Mesa-Chandler, AZ",AZ
Cedar Creek,"Austin-Round Rock-Georgetown, TX",AZ
Cedar Creek,"Austin-Round Rock-Georgetown, TX",TX
Cedar Hill,"Dallas-Fort Worth-Arlington, TX",TX
Cedar Park,"Austin-Round Rock-Georgetown, TX",TX
Celebration,"Orlando-Kissimmee-Sanford, FL",FL
Celeste,"Dallas-Fort Worth-Arlington, TX",TX
Celina,"Dallas-Fort Worth-Arlington, TX",TX
Chandler,"Phoenix-Mesa-Chandler, AZ",TX
Chandler,"Phoenix-Mesa-Chandler, AZ",AZ
Channelview,"Houston-The Woodlands-Sugar Land, TX",TX
Charlotte,"San Antonio-New Braunfels, TX",TX
Chico,"Dallas-Fort Worth-Arlington, TX",TX
China Grove,"San Antonio-New Braunfels, TX",TX
Christmas,"Orlando-Kissimmee-Sanford, FL",FL
Chuluota,"Orlando-Kissimmee-Sanford, FL",FL
Cibolo,"San Antonio-New Braunfels, TX",TX
Clear Lake Shores,"Houston-The Woodlands-Sugar Land, TX",TX
Clearwater,"Tampa-St. Petersburg-Clearwater, FL",FL
Cleburne,"Dallas-Fort Worth-Arlington, TX",TX
Clermont,"Orlando-Kissimmee-Sanford, FL",FL
Cleveland,"Houston-The Woodlands-Sugar Land, TX",TX
Cleveland,"Houston-The Woodlands-Sugar Land, TX",FL
Clute,"Houston-The Woodlands-Sugar Land, TX",TX
Coconut Creek,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Coldspring,"Houston-The Woodlands-Sugar Land, TX",TX
Colleyville,"Dallas-Fort Worth-Arlington, TX",TX
Combine,"Dallas-Fort Worth-Arlington, TX",TX
Comfort,"San Antonio-New Braunfels, TX",TX
Commerce,"Dallas-Fort Worth-Arlington, TX",TX
Conroe,"Houston-The Woodlands-Sugar Land, TX",TX
Converse,"San Antonio-New Braunfels, TX",TX
Cool,"Dallas-Fort Worth-Arlington, TX",TX
Coolidge,"Phoenix-Mesa-Chandler, AZ",TX
Coolidge,"Phoenix-Mesa-Chandler, AZ",AZ
Cooper City,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Coppell,"Dallas-Fort Worth-Arlington, TX",TX
Coral Gables,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Coral Springs,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Corinth,"Dallas-Fort Worth-Arlington, TX",TX
Coupland,"Austin-Round Rock-Georgetown, TX",TX
Cove,"Houston-The Woodlands-Sugar Land, TX",TX
Crandall,"Dallas-Fort Worth-Arlington, TX",TX
Creedmoor,"Austin-Round Rock-Georgetown, TX",TX
Crosby,"Houston-The Woodlands-Sugar Land, TX",TX
Cross Roads,"Dallas-Fort Worth-Arlington, TX",TX
Crowley,"Dallas-Fort Worth-Arlington, TX",TX
Crystal Beach,"Houston-The Woodlands-Sugar Land, TX",AZ
Cut and Shoot,"Houston-The Woodlands-Sugar Land, TX",TX
Cutler Bay,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Dade City,"Tampa-St. Petersburg-Clearwater, FL",FL
Daisetta,"Houston-The Woodlands-Sugar Land, TX",TX
Dallas,"Dallas-Fort Worth-Arlington, TX",TX
Damon,"Houston-The Woodlands-Sugar Land, TX",TX
Danbury,"Houston-The Woodlands-Sugar Land, TX",TX
Dania Beach,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Davenport,"Orlando-Kissimmee-Sanford, FL",FL
Davie,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Dayton,"Houston-The Woodlands-Sugar Land, TX",TX
Dayton,"Houston-The Woodlands-Sugar Land, TX",NV
Decatur,"Dallas-Fort Worth-Arlington, TX",TX
Deer Park,"Houston-The Woodlands-Sugar Land, TX",TX
Deerfield Beach,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Delray Beach,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Denton,"Dallas-Fort Worth-Arlington, TX",TX
Devers,"Houston-The Woodlands-Sugar Land, TX",TX
Devine,"San Antonio-New Braunfels, TX",TX
Dickinson,"Houston-The Woodlands-Sugar Land, TX",TX
Doral,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Double Oak,"Dallas-Fort Worth-Arlington, TX",TX
Dover,"Tampa-St. Petersburg-Clearwater, FL",FL
Dripping Springs,"Austin-Round Rock-Georgetown, TX",AZ
Dripping Springs,"Austin-Round Rock-Georgetown, TX",TX
Duncanville,"Dallas-Fort Worth-Arlington, TX",TX
Dunedin,"Tampa-St. Petersburg-Clearwater, FL",FL
Eatonville,"Orlando-Kissimmee-Sanford, FL",FL
Edgecliff Village,"Dallas-Fort Worth-Arlington, TX",TX
Edgewood,"Orlando-Kissimmee-Sanford, FL",FL
Edgewood,"Orlando-Kissimmee-Sanford, FL",TX
El Lago,"Houston-The Woodlands-Sugar Land, TX",TX
El Mirage,"Phoenix-Mesa-Chandler, AZ",AZ
El Portal,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Elgin,"Austin-Round Rock-Georgetown, TX",TX
Elgin,"Austin-Round Rock-Georgetown, TX",AZ
Elmendorf,"San Antonio-New Braunfels, TX",TX
Eloy,"Phoenix-Mesa-Chandler, AZ",AZ
Elsa,"Houston-The Woodlands-Sugar Land, TX",TX
Ennis,"Dallas-Fort Worth-Arlington, TX",TX
Euless,"Dallas-Fort Worth-Arlington, TX",TX
Eustis,"Orlando-Kissimmee-Sanford, FL",FL
Everman,"Dallas-Fort Worth-Arlington, TX",TX
Fair Oaks Ranch,"San Antonio-New Braunfels, TX",TX
Fairview,"Dallas-Fort Worth-Arlington, TX",TX
Farmers Branch,"Dallas-Fort Worth-Arlington, TX",TX
Farmersville,"Dallas-Fort Worth-Arlington, TX",TX
Fate,"Dallas-Fort Worth-Arlington, TX",TX
Fern Park,"Orlando-Kissimmee-Sanford, FL",FL
Ferris,"Dallas-Fort Worth-Arlington, TX",TX
Fisher Island,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Florence,"Austin-Round Rock-Georgetown, TX",AZ
Florence,"Austin-Round Rock-Georgetown, TX",TX
Floresville,"San Antonio-New Braunfels, TX",TX
Florida City,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Flower Mound,"Dallas-Fort Worth-Arlington, TX",TX
Forest City,"Orlando-Kissimmee-Sanford, FL",FL
Forest Hill,"Dallas-Fort Worth-Arlington, TX",TX
Forney,"Dallas-Fort Worth-Arlington, TX",TX
Fort Lauderdale,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Fort Worth,"Dallas-Fort Worth-Arlington, TX",TX
Fountain Hills,"Phoenix-Mesa-Chandler, AZ",AZ
Fountainebleau,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Four Corners,"Orlando-Kissimmee-Sanford, FL",TX
Four Corners,"Orlando-Kissimmee-Sanford, FL",FL
Freeport,"Houston-The Woodlands-Sugar Land, TX",FL
Freeport,"Houston-The Woodlands-Sugar Land, TX",TX
Fresno,"Houston-The Woodlands-Sugar Land, TX",TX
Friendswood,"Houston-The Woodlands-Sugar Land, TX",TX
Frisco,"Dallas-Fort Worth-Arlington, TX",TX
Fruitland Park,"Orlando-Kissimmee-Sanford, FL",FL
Fulshear,"Houston-The Woodlands-Sugar Land, TX",TX
Galena Park,"Houston-The Woodlands-Sugar Land, TX",TX
Galveston,"Houston-The Woodlands-Sugar Land, TX",TX
Garden Ridge,"San Antonio-New Braunfels, TX",TX
Garland,"Dallas-Fort Worth-Arlington, TX",TX
Geneva,"Orlando-Kissimmee-Sanford, FL",FL
Georgetown,"Austin-Round Rock-Georgetown, TX",TX
Gibsonton,"Tampa-St. Petersburg-Clearwater, FL",FL
Gila Bend,"Phoenix-Mesa-Chandler, AZ",AZ
Gilbert,"Phoenix-Mesa-Chandler, AZ",AZ
Glen Ridge,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Glendale,"Phoenix-Mesa-Chandler, AZ",AZ
Glenn Heights,"Dallas-Fort Worth-Arlington, TX",TX
Godley,"Dallas-Fort Worth-Arlington, TX",TX
Gold Canyon,"Phoenix-Mesa-Chandler, AZ",AZ
Golf,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Goodsprings,"Las Vegas-Henderson-Paradise, NV",NV
Goodyear,"Phoenix-Mesa-Chandler, AZ",AZ
Goulds,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Grand Prairie,"Dallas-Fort Worth-Arlington, TX",TX
Grandview,"Dallas-Fort Worth-Arlington, TX",TX
Granger,"Austin-Round Rock-Georgetown, TX",TX
Grapevine,"Dallas-Fort Worth-Arlington, TX",TX
Greenacres,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Greenville,"Dallas-Fort Worth-Arlington, TX",FL
Greenville,"Dallas-Fort Worth-Arlington, TX",TX
Groom,"San Antonio-New Braunfels, TX",TX
Groveland,"Orlando-Kissimmee-Sanford, FL",FL
Guadalupe,"Phoenix-Mesa-Chandler, AZ",AZ
Gulf Stream,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Gulfport,"Tampa-St. Petersburg-Clearwater, FL",FL
Hallandale Beach,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Haltom City,"Dallas-Fort Worth-Arlington, TX",TX
Haslet,"Dallas-Fort Worth-Arlington, TX",TX
Haverhill,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Heath,"Dallas-Fort Worth-Arlington, TX",TX
Heathrow,"Orlando-Kissimmee-Sanford, FL",FL
Helotes,"San Antonio-New Braunfels, TX",TX
Hempstead,"Houston-The Woodlands-Sugar Land, TX",TX
Henderson,"Las Vegas-Henderson-Paradise, NV",NV
Henderson,"Las Vegas-Henderson-Paradise, NV",TX
Hernando Beach,"Tampa-St. Petersburg-Clearwater, FL",FL
Hialeah,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Hialeah Gardens,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Hickory Creek,"Dallas-Fort Worth-Arlington, TX",TX
Highland Beach,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Highland Village,"Dallas-Fort Worth-Arlington, TX",TX
Highlands,"Houston-The Woodlands-Sugar Land, TX",TX
Hill Country Village,"San Antonio-New Braunfels, TX",TX
Hillsboro Beach,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Hitchcock,"Houston-The Woodlands-Sugar Land, TX",TX
Holiday,"Tampa-St. Petersburg-Clearwater, FL",FL
Hollywood,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Hollywood Park,"San Antonio-New Braunfels, TX",TX
Homestead,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Hondo,"San Antonio-New Braunfels, TX",TX
Houston,"Houston-The Woodlands-Sugar Land, TX",TX
Hudson,"Tampa-St. Petersburg-Clearwater, FL",FL
Hudson,"Tampa-St. Petersburg-Clearwater, FL",TX
Hudson Oaks,"Dallas-Fort Worth-Arlington, TX",TX
Hull,"Houston-The Woodlands-Sugar Land, TX",TX
Humble,"Houston-The Woodlands-Sugar Land, TX",TX
Hurst,"Dallas-Fort Worth-Arlington, TX",TX
Hutchins,"Dallas-Fort Worth-Arlington, TX",TX
Hutto,"Austin-Round Rock-Georgetown, TX",TX
Hypoluxo,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Indian Rocks Beach,"Tampa-St. Petersburg-Clearwater, FL",FL
Indian Shores,"Tampa-St. Petersburg-Clearwater, FL",FL
Indian Springs,"Las Vegas-Henderson-Paradise, NV",TX
Indian Springs,"Las Vegas-Henderson-Paradise, NV",NV
Industry,"Houston-The Woodlands-Sugar Land, TX",TX
Iowa Colony,"Houston-The Woodlands-Sugar Land, TX",TX
Irving,"Dallas-Fort Worth-Arlington, TX",TX
Italy,"Dallas-Fort Worth-Arlington, TX",TX
Jacinto City,"Houston-The Woodlands-Sugar Land, TX",TX
Jamaica Beach,"Houston-The Woodlands-Sugar Land, TX",TX
Jarrell,"Austin-Round Rock-Georgetown, TX",TX
Jersey Village,"Houston-The Woodlands-Sugar Land, TX",TX
Jones Creek,"Houston-The Woodlands-Sugar Land, TX",TX
Jonestown,"Austin-Round Rock-Georgetown, TX",TX
Joshua,"Dallas-Fort Worth-Arlington, TX",TX
Jourdanton,"San Antonio-New Braunfels, TX",TX
Juno Beach,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Jupiter,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Justin,"Dallas-Fort Worth-Arlington, TX",TX
Katy,"Houston-The Woodlands-Sugar Land, TX",TX
Kaufman,"Dallas-Fort Worth-Arlington, TX",TX
Kearny,"Phoenix-Mesa-Chandler, AZ",AZ
Keene,"Dallas-Fort Worth-Arlington, TX",TX
Keller,"Dallas-Fort Worth-Arlington, TX",TX
Kemah,"Houston-The Woodlands-Sugar Land, TX",TX
Kemp,"Dallas-Fort Worth-Arlington, TX",TX
Kendall,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Kennedale,"Dallas-Fort Worth-Arlington, TX",TX
Kenneth City,"Tampa-St. Petersburg-Clearwater, FL",FL
Key Biscayne,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Kirby,"San Antonio-New Braunfels, TX",TX
Kissimmee,"Orlando-Kissimmee-Sanford, FL",FL
Krugerville,"Dallas-Fort Worth-Arlington, TX",TX
Krum,"Dallas-Fort Worth-Arlington, TX",TX
Kyle,"Austin-Round Rock-Georgetown, TX",TX
La Marque,"Houston-The Woodlands-Sugar Land, TX",TX
La Porte,"Houston-The Woodlands-Sugar Land, TX",TX
La Vernia,"San Antonio-New Braunfels, TX",TX
Lackland AFB,"San Antonio-New Braunfels, TX",TX
Lady Lake,"Orlando-Kissimmee-Sanford, FL",FL
Lago Vista,"Austin-Round Rock-Georgetown, TX",TX
Lago Vista,"Austin-Round Rock-Georgetown, TX",TX
Lake Buena Vista,"Orlando-Kissimmee-Sanford, FL",FL
Lake Clarke Shores,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Lake Dallas,"Dallas-Fort Worth-Arlington, TX",TX
Lake Jackson,"Houston-The Woodlands-Sugar Land, TX",TX
Lake Mary,"Orlando-Kissimmee-Sanford, FL",FL
Lake Park,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Lake Worth,"Dallas-Fort Worth-Arlington, TX",TX
Lake Worth Beach,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Lakehills,"San Antonio-New Braunfels, TX",TX
Lakeside,"Dallas-Fort Worth-Arlington, TX",FL
Lakeside,"Dallas-Fort Worth-Arlington, TX",TX
Lakeside,"Dallas-Fort Worth-Arlington, TX",TX
Lakeway,"Austin-Round Rock-Georgetown, TX",TX
Lancaster,"Dallas-Fort Worth-Arlington, TX",TX
Lantana,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Lantana,"Miami-Fort Lauderdale-Pompano Beach, FL",TX
Largo,"Tampa-St. Petersburg-Clearwater, FL",FL
Las Vegas,"Las Vegas-Henderson-Paradise, NV",NV
Lauderdale Lakes,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Lauderhill,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Laughlin,"Las Vegas-Henderson-Paradise, NV",NV
Lavon,"Dallas-Fort Worth-Arlington, TX",TX
League City,"Houston-The Woodlands-Sugar Land, TX",TX
Leander,"Austin-Round Rock-Georgetown, TX",TX
Leesburg,"Orlando-Kissimmee-Sanford, FL",FL
Leming,"San Antonio-New Braunfels, TX",TX
Leon Valley,"San Antonio-New Braunfels, TX",TX
Lewisville,"Dallas-Fort Worth-Arlington, TX",TX
Liberty,"Houston-The Woodlands-Sugar Land, TX",TX
Liberty Hill,"Austin-Round Rock-Georgetown, TX",TX
Lighthouse Point,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Litchfield Park,"Phoenix-Mesa-Chandler, AZ",AZ
