CITY,NAME,State
Little Elm,"Dallas-Fort Worth-Arlington, TX",TX
Live Oak,"San Antonio-New Braunfels, TX",TX
Live Oak,"San Antonio-New Braunfels, TX",FL
Liverpool,"Houston-The Woodlands-Sugar Land, TX",TX
Lockhart,"Austin-Round Rock-Georgetown, TX",TX
Lockhart,"Austin-Round Rock-Georgetown, TX",FL
Lone Oak,"Dallas-Fort Worth-Arlington, TX",TX
Longwood,"Orlando-Kissimmee-Sanford, FL",FL
Loxahatchee Groves,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Lucas,"Dallas-Fort Worth-Arlington, TX",TX
Luling,"Austin-Round Rock-Georgetown, TX",TX
Lutz,"Tampa-St. Petersburg-Clearwater, FL",FL
Lytle,"San Antonio-New Braunfels, TX",TX
Mabank,"Dallas-Fort Worth-Arlington, TX",TX
Macdona,"San Antonio-New Braunfels, TX",TX
Madeira Beach,"Tampa-St. Petersburg-Clearwater, FL",FL
Magnolia,"Houston-The Woodlands-Sugar Land, TX",TX
Maitland,"Orlando-Kissimmee-Sanford, FL",FL
Mammoth,"Phoenix-Mesa-Chandler, AZ",AZ
Manchaca,"Austin-Round Rock-Georgetown, TX",TX
Mangonia Park,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Manor,"Austin-Round Rock-Georgetown, TX",TX
Mansfield,"Dallas-Fort Worth-Arlington, TX",TX
Manvel,"Houston-The Woodlands-Sugar Land, TX",TX
Marble Falls,"Austin-Round Rock-Georgetown, TX",TX
Margate,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Maricopa,"Phoenix-Mesa-Chandler, AZ",AZ
Marion,"San Antonio-New Braunfels, TX",TX
Martindale,"Austin-Round Rock-Georgetown, TX",TX
Mascotte,"Orlando-Kissimmee-Sanford, FL",FL
Maypearl,"Dallas-Fort Worth-Arlington, TX",TX
McDade,"Austin-Round Rock-Georgetown, TX",TX
McKinney,"Dallas-Fort Worth-Arlington, TX",TX
McQueeney,"San Antonio-New Braunfels, TX",TX
Meadows Place,"Houston-The Woodlands-Sugar Land, TX",TX
Medley,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Melissa,"Dallas-Fort Worth-Arlington, TX",TX
Mesa,"Phoenix-Mesa-Chandler, AZ",AZ
Mesquite,"Dallas-Fort Worth-Arlington, TX",NV
Mesquite,"Dallas-Fort Worth-Arlington, TX",TX
Mesquite,"Dallas-Fort Worth-Arlington, TX",TX
Miami,"Miami-Fort Lauderdale-Pompano Beach, FL",TX
Miami,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Miami,"Miami-Fort Lauderdale-Pompano Beach, FL",AZ
Miami Beach,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Miami Gardens,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Miami Lakes,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Miami Shores,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Miami Springs,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Midlothian,"Dallas-Fort Worth-Arlington, TX",TX
Midway,"Orlando-Kissimmee-Sanford, FL",FL
Midway,"Orlando-Kissimmee-Sanford, FL",FL
Midway,"Orlando-Kissimmee-Sanford, FL",TX
Midway,"Orlando-Kissimmee-Sanford, FL",FL
Milford,"Dallas-Fort Worth-Arlington, TX",TX
Millsap,"Dallas-Fort Worth-Arlington, TX",TX
Minneola,"Orlando-Kissimmee-Sanford, FL",FL
Miramar,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Missouri City,"Houston-The Woodlands-Sugar Land, TX",TX
Mont Belvieu,"Houston-The Woodlands-Sugar Land, TX",TX
Montgomery,"Houston-The Woodlands-Sugar Land, TX",TX
Montverde,"Orlando-Kissimmee-Sanford, FL",FL
Morristown,"Phoenix-Mesa-Chandler, AZ",AZ
Mount Dora,"Orlando-Kissimmee-Sanford, FL",FL
Mount Plymouth,"Orlando-Kissimmee-Sanford, FL",FL
Murphy,"Dallas-Fort Worth-Arlington, TX",TX
Naranja,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Natalia,"San Antonio-New Braunfels, TX",TX
Needville,"Houston-The Woodlands-Sugar Land, TX",TX
Nellis AFB,"Las Vegas-Henderson-Paradise, NV",NV
Nevada,"Dallas-Fort Worth-Arlington, TX",TX
New Berlin,"San Antonio-New Braunfels, TX",TX
New Braunfels,"San Antonio-New Braunfels, TX",TX
New Port Richey,"Tampa-St. Petersburg-Clearwater, FL",FL
New River,"Phoenix-Mesa-Chandler, AZ",AZ
New Ulm,"Houston-The Woodlands-Sugar Land, TX",TX
Newark,"Dallas-Fort Worth-Arlington, TX",TX
Niederwald,"Austin-Round Rock-Georgetown, TX",TX
Nobleton,"Tampa-St. Petersburg-Clearwater, FL",FL
North Bay Village,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
North Las Vegas,"Las Vegas-Henderson-Paradise, NV",NV
North Lauderdale,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
North Miami,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
North Miami Beach,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
North Palm Beach,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
North Redington Beach,"Tampa-St. Petersburg-Clearwater, FL",FL
North Richland Hills,"Dallas-Fort Worth-Arlington, TX",TX
Northlake,"Dallas-Fort Worth-Arlington, TX",TX
Oak Point,"Dallas-Fort Worth-Arlington, TX",TX
Oak Ridge North,"Houston-The Woodlands-Sugar Land, TX",TX
Oakland,"Orlando-Kissimmee-Sanford, FL",FL
Oakland Park,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Ocean Ridge,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Ocoee,"Orlando-Kissimmee-Sanford, FL",FL
Odessa,"Tampa-St. Petersburg-Clearwater, FL",FL
Odessa,"Tampa-St. Petersburg-Clearwater, FL",TX
Okahumpka,"Orlando-Kissimmee-Sanford, FL",FL
Okeechobee,"Orlando-Kissimmee-Sanford, FL",FL
Old River-Winfree,"Houston-The Woodlands-Sugar Land, TX",TX
Oldsmar,"Tampa-St. Petersburg-Clearwater, FL",FL
Olmos Park,"San Antonio-New Braunfels, TX",TX
Olympia Heights,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Oracle,"Phoenix-Mesa-Chandler, AZ",AZ
Orchard,"Houston-The Woodlands-Sugar Land, TX",TX
Orlando,"Orlando-Kissimmee-Sanford, FL",FL
Overton,"Las Vegas-Henderson-Paradise, NV",TX
Oviedo,"Orlando-Kissimmee-Sanford, FL",FL
Ovilla,"Dallas-Fort Worth-Arlington, TX",TX
Oyster Creek,"Houston-The Woodlands-Sugar Land, TX",TX
Ozona,"Tampa-St. Petersburg-Clearwater, FL",TX
Pahokee,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Paige,"Austin-Round Rock-Georgetown, TX",TX
Paisley,"Orlando-Kissimmee-Sanford, FL",FL
Palm Beach,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Palm Beach Gardens,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Palm Beach Shores,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Palm Harbor,"Tampa-St. Petersburg-Clearwater, FL",FL
Palm Springs,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Palmer,"Dallas-Fort Worth-Arlington, TX",TX
Palmer,"Dallas-Fort Worth-Arlington, TX",TX
Palmetto Bay,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Panama City,"Dallas-Fort Worth-Arlington, TX",FL
Panorama Village,"Houston-The Woodlands-Sugar Land, TX",TX
Pantego,"Dallas-Fort Worth-Arlington, TX",TX
Paradise,"Dallas-Fort Worth-Arlington, TX",NV
Paradise,"Dallas-Fort Worth-Arlington, TX",TX
Paradise Valley,"Phoenix-Mesa-Chandler, AZ",AZ
Paradise Valley,"Phoenix-Mesa-Chandler, AZ",NV
Paris,"Dallas-Fort Worth-Arlington, TX",TX
Parker,"Dallas-Fort Worth-Arlington, TX",AZ
Parker,"Dallas-Fort Worth-Arlington, TX",TX
Parker,"Dallas-Fort Worth-Arlington, TX",FL
Parkland,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Pasadena,"Houston-The Woodlands-Sugar Land, TX",TX
Pattison,"Houston-The Woodlands-Sugar Land, TX",TX
Pearland,"Houston-The Woodlands-Sugar Land, TX",TX
Pembroke Park,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Pembroke Pines,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Peoria,"Phoenix-Mesa-Chandler, AZ",AZ
Pflugerville,"Austin-Round Rock-Georgetown, TX",TX
Phoenix,"Phoenix-Mesa-Chandler, AZ",AZ
Pilot Point,"Dallas-Fort Worth-Arlington, TX",TX
Pine Castle,"Orlando-Kissimmee-Sanford, FL",FL
Pine Hills,"Orlando-Kissimmee-Sanford, FL",FL
Pinecrest,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Pinehurst,"Houston-The Woodlands-Sugar Land, TX",TX
Pinehurst,"Houston-The Woodlands-Sugar Land, TX",TX
Pinellas Park,"Tampa-St. Petersburg-Clearwater, FL",FL
Plano,"Dallas-Fort Worth-Arlington, TX",TX
Plant City,"Tampa-St. Petersburg-Clearwater, FL",FL
Plantation,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Plantation,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Pleasanton,"San Antonio-New Braunfels, TX",TX
Poinciana,"Orlando-Kissimmee-Sanford, FL",FL
Pompano Beach,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Ponder,"Dallas-Fort Worth-Arlington, TX",TX
Port Richey,"Tampa-St. Petersburg-Clearwater, FL",FL
Poteet,"San Antonio-New Braunfels, TX",TX
Poth,"San Antonio-New Braunfels, TX",TX
Prairie View,"Houston-The Woodlands-Sugar Land, TX",TX
Princeton,"Dallas-Fort Worth-Arlington, TX",FL
Princeton,"Dallas-Fort Worth-Arlington, TX",TX
Prosper,"Dallas-Fort Worth-Arlington, TX",TX
Providence Village,"Dallas-Fort Worth-Arlington, TX",TX
Queen Creek,"Phoenix-Mesa-Chandler, AZ",AZ
Queen Valley,"Phoenix-Mesa-Chandler, AZ",AZ
Quinlan,"Dallas-Fort Worth-Arlington, TX",TX
Quintana,"Houston-The Woodlands-Sugar Land, TX",TX
Randolph AFB,"San Antonio-New Braunfels, TX",TX
Red Oak,"Dallas-Fort Worth-Arlington, TX",TX
Red Rock,"Austin-Round Rock-Georgetown, TX",AZ
Red Rock,"Austin-Round Rock-Georgetown, TX",AZ
Red Rock,"Austin-Round Rock-Georgetown, TX",TX
Redington Shores,"Tampa-St. Petersburg-Clearwater, FL",FL
Rendon,"Dallas-Fort Worth-Arlington, TX",TX
Rhome,"Dallas-Fort Worth-Arlington, TX",TX
Richardson,"Dallas-Fort Worth-Arlington, TX",TX
Richland Hills,"Dallas-Fort Worth-Arlington, TX",TX
Richmond,"Houston-The Woodlands-Sugar Land, TX",TX
Richmond West,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Richwood,"Houston-The Woodlands-Sugar Land, TX",TX
Ridge Manor,"Tampa-St. Petersburg-Clearwater, FL",FL
Rio Verde,"Phoenix-Mesa-Chandler, AZ",AZ
Rio Vista,"Dallas-Fort Worth-Arlington, TX",TX
River Oaks,"Dallas-Fort Worth-Arlington, TX",TX
Riverview,"Tampa-St. Petersburg-Clearwater, FL",FL
Riviera Beach,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Roanoke,"Dallas-Fort Worth-Arlington, TX",TX
Rockwall,"Dallas-Fort Worth-Arlington, TX",TX
Rollingwood,"Austin-Round Rock-Georgetown, TX",TX
Roman Forest,"Houston-The Woodlands-Sugar Land, TX",TX
Rosenberg,"Houston-The Woodlands-Sugar Land, TX",TX
Rosharon,"Houston-The Woodlands-Sugar Land, TX",TX
Round Rock,"Austin-Round Rock-Georgetown, TX",TX
Round Rock,"Austin-Round Rock-Georgetown, TX",AZ
Rowlett,"Dallas-Fort Worth-Arlington, TX",TX
Royal Palm Beach,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Royse City,"Dallas-Fort Worth-Arlington, TX",TX
Runaway Bay,"Dallas-Fort Worth-Arlington, TX",TX
Ruskin,"Tampa-St. Petersburg-Clearwater, FL",FL
Rye,"Houston-The Woodlands-Sugar Land, TX",AZ
Sacaton,"Phoenix-Mesa-Chandler, AZ",AZ
Sachse,"Dallas-Fort Worth-Arlington, TX",TX
Saddlebrooke,"Phoenix-Mesa-Chandler, AZ",AZ
Safety Harbor,"Tampa-St. Petersburg-Clearwater, FL",FL
Saginaw,"Dallas-Fort Worth-Arlington, TX",TX
San Antonio,"San Antonio-New Braunfels, TX",FL
San Antonio,"San Antonio-New Braunfels, TX",TX
San Leon,"Houston-The Woodlands-Sugar Land, TX",TX
San Manuel,"Phoenix-Mesa-Chandler, AZ",AZ
San Marcos,"Austin-Round Rock-Georgetown, TX",TX
San Tan Valley,"Phoenix-Mesa-Chandler, AZ",AZ
Sanctuary,"Dallas-Fort Worth-Arlington, TX",TX
Sandy Point,"Houston-The Woodlands-Sugar Land, TX",TX
Sandy Valley,"Las Vegas-Henderson-Paradise, NV",NV
Sanford,"Orlando-Kissimmee-Sanford, FL",TX
Sanford,"Orlando-Kissimmee-Sanford, FL",FL
Sanger,"Dallas-Fort Worth-Arlington, TX",TX
Santa Clara,"San Antonio-New Braunfels, TX",TX
Santa Fe,"Houston-The Woodlands-Sugar Land, TX",TX
Schertz,"San Antonio-New Braunfels, TX",TX
Scottsdale,"Phoenix-Mesa-Chandler, AZ",AZ
Scurry,"Dallas-Fort Worth-Arlington, TX",TX
Seabrook,"Houston-The Woodlands-Sugar Land, TX",TX
Seagoville,"Dallas-Fort Worth-Arlington, TX",TX
Sealy,"Houston-The Woodlands-Sugar Land, TX",TX
Searchlight,"Las Vegas-Henderson-Paradise, NV",NV
Seffner,"Tampa-St. Petersburg-Clearwater, FL",FL
Seguin,"San Antonio-New Braunfels, TX",TX
Selma,"San Antonio-New Braunfels, TX",TX
Seminole,"Tampa-St. Petersburg-Clearwater, FL",TX
Seminole,"Tampa-St. Petersburg-Clearwater, FL",FL
Shady Hills,"Tampa-St. Petersburg-Clearwater, FL",FL
Shavano Park,"San Antonio-New Braunfels, TX",TX
Shenandoah,"Houston-The Woodlands-Sugar Land, TX",TX
Simonton,"Houston-The Woodlands-Sugar Land, TX",TX
Smithville,"Austin-Round Rock-Georgetown, TX",TX
Somerset,"San Antonio-New Braunfels, TX",TX
Sorrento,"Orlando-Kissimmee-Sanford, FL",FL
South Bay,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
South Houston,"Houston-The Woodlands-Sugar Land, TX",TX
South Miami,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
South Pasadena,"Tampa-St. Petersburg-Clearwater, FL",FL
Southlake,"Dallas-Fort Worth-Arlington, TX",TX
Southwest Ranches,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Splendora,"Houston-The Woodlands-Sugar Land, TX",TX
Spring,"Houston-The Woodlands-Sugar Land, TX",TX
Spring Branch,"San Antonio-New Braunfels, TX",TX
Spring Hill,"Tampa-St. Petersburg-Clearwater, FL",FL
Springtown,"Dallas-Fort Worth-Arlington, TX",TX
Stafford,"Houston-The Woodlands-Sugar Land, TX",TX
Stanfield,"Phoenix-Mesa-Chandler, AZ",AZ
Stockdale,"San Antonio-New Braunfels, TX",TX
Stowell,"Houston-The Woodlands-Sugar Land, TX",TX
Sugar Land,"Houston-The Woodlands-Sugar Land, TX",TX
Sun City,"Phoenix-Mesa-Chandler, AZ",AZ
Sun City Center,"Tampa-St. Petersburg-Clearwater, FL",FL
Sun City West,"Phoenix-Mesa-Chandler, AZ",AZ
Sun Lakes,"Phoenix-Mesa-Chandler, AZ",AZ
Sunny Isles Beach,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Sunnyvale,"Dallas-Fort Worth-Arlington, TX",TX
Sunrise,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Sunset Valley,"Austin-Round Rock-Georgetown, TX",TX
Superior,"Phoenix-Mesa-Chandler, AZ",AZ
Surfside,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Surfside Beach,"Houston-The Woodlands-Sugar Land, TX",TX
Surprise,"Phoenix-Mesa-Chandler, AZ",AZ
Sweeny,"Houston-The Woodlands-Sugar Land, TX",TX
Sweetwater,"Miami-Fort Lauderdale-Pompano Beach, FL",TX
Sweetwater,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Tamarac,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Tampa,"Tampa-St. Petersburg-Clearwater, FL",FL
Tarpon Springs,"Tampa-St. Petersburg-Clearwater, FL",FL
Tavares,"Orlando-Kissimmee-Sanford, FL",FL
Taylor,"Austin-Round Rock-Georgetown, TX",TX
Taylor,"Austin-Round Rock-Georgetown, TX",AZ
Tempe,"Phoenix-Mesa-Chandler, AZ",AZ
Temple Terrace,"Tampa-St. Petersburg-Clearwater, FL",FL
Tequesta,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Terrell,"Dallas-Fort Worth-Arlington, TX",TX
Texas City,"Houston-The Woodlands-Sugar Land, TX",TX
The Colony,"Dallas-Fort Worth-Arlington, TX",TX
The Hills,"Austin-Round Rock-Georgetown, TX",TX
The Villages,"Orlando-Kissimmee-Sanford, FL",FL
The Woodlands,"Houston-The Woodlands-Sugar Land, TX",TX
Thonotosassa,"Tampa-St. Petersburg-Clearwater, FL",FL
Thrall,"Austin-Round Rock-Georgetown, TX",TX
Tierra Verde,"Tampa-St. Petersburg-Clearwater, FL",FL
Tierra Verde,"Tampa-St. Petersburg-Clearwater, FL",TX
Tolleson,"Phoenix-Mesa-Chandler, AZ",AZ
Tomball,"Houston-The Woodlands-Sugar Land, TX",TX
Tonopah,"Phoenix-Mesa-Chandler, AZ",NV
Tonopah,"Phoenix-Mesa-Chandler, AZ",AZ
Treasure Island,"Tampa-St. Petersburg-Clearwater, FL",FL
Trinity,"Tampa-St. Petersburg-Clearwater, FL",TX
Trinity,"Tampa-St. Petersburg-Clearwater, FL",FL
Trophy Club,"Dallas-Fort Worth-Arlington, TX",TX
Tucson,"Phoenix-Mesa-Chandler, AZ",AZ
Uhland,"Austin-Round Rock-Georgetown, TX",TX
Umatilla,"Orlando-Kissimmee-Sanford, FL",FL
Union Park,"Orlando-Kissimmee-Sanford, FL",FL
Universal City,"San Antonio-New Braunfels, TX",TX
University Park,"Dallas-Fort Worth-Arlington, TX",TX
Valrico,"Tampa-St. Petersburg-Clearwater, FL",FL
Venus,"Dallas-Fort Worth-Arlington, TX",TX
Virginia Gardens,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Volente,"Austin-Round Rock-Georgetown, TX",TX
Von Ormy,"San Antonio-New Braunfels, TX",TX
Waller,"Houston-The Woodlands-Sugar Land, TX",TX
Wallis,"Houston-The Woodlands-Sugar Land, TX",TX
Watauga,"Dallas-Fort Worth-Arlington, TX",TX
Waxahachie,"Dallas-Fort Worth-Arlington, TX",TX
Weatherford,"Dallas-Fort Worth-Arlington, TX",TX
Webberville,"Austin-Round Rock-Georgetown, TX",TX
Webster,"Houston-The Woodlands-Sugar Land, TX",FL
Webster,"Houston-The Woodlands-Sugar Land, TX",TX
Weir,"Austin-Round Rock-Georgetown, TX",TX
Wellington,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Wellington,"Miami-Fort Lauderdale-Pompano Beach, FL",TX
Wesley Chapel,"Tampa-St. Petersburg-Clearwater, FL",FL
West Columbia,"Houston-The Woodlands-Sugar Land, TX",TX
West Lake Hills,"Austin-Round Rock-Georgetown, TX",TX
West Little River,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
West Miami,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
West Palm Beach,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
West Park,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
West Tawakoni,"Dallas-Fort Worth-Arlington, TX",TX
West University Place,"Houston-The Woodlands-Sugar Land, TX",TX
Westchase,"Tampa-St. Petersburg-Clearwater, FL",FL
Westlake,"Dallas-Fort Worth-Arlington, TX",FL
Westlake,"Dallas-Fort Worth-Arlington, TX",TX
Weston,"Miami-Fort Lauderdale-Pompano Beach, FL",TX
Weston,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Westview,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Westworth Village,"Dallas-Fort Worth-Arlington, TX",TX
White Settlement,"Dallas-Fort Worth-Arlington, TX",TX
Wickenburg,"Phoenix-Mesa-Chandler, AZ",AZ
Willis,"Houston-The Woodlands-Sugar Land, TX",TX
Willow Park,"Dallas-Fort Worth-Arlington, TX",TX
Wilmer,"Dallas-Fort Worth-Arlington, TX",TX
Wilton Manors,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Wimauma,"Tampa-St. Petersburg-Clearwater, FL",FL
Wimberley,"Austin-Round Rock-Georgetown, TX",TX
Windcrest,"San Antonio-New Braunfels, TX",TX
Windermere,"Orlando-Kissimmee-Sanford, FL",FL
Winnie,"Houston-The Woodlands-Sugar Land, TX",TX
Winter Garden,"Orlando-Kissimmee-Sanford, FL",FL
Winter Park,"Orlando-Kissimmee-Sanford, FL",FL
Winter Springs,"Orlando-Kissimmee-Sanford, FL",FL
Wittmann,"Phoenix-Mesa-Chandler, AZ",AZ
Wolfe City,"Dallas-Fort Worth-Arlington, TX",TX
Wylie,"Dallas-Fort Worth-Arlington, TX",TX
Yalaha,"Orlando-Kissimmee-Sanford, FL",FL
Yancey,"San Antonio-New Braunfels, TX",TX
Yeehaw Junction,"Orlando-Kissimmee-Sanford, FL",FL
Youngtown,"Phoenix-Mesa-Chandler, AZ",AZ
Zellwood,"Orlando-Kissimmee-Sanford, FL",FL
Zephyrhills,"Tampa-St. Petersburg-Clearwater, FL",FL
